Subscription Name,Subscription ID,Owner Count,Is Disabled,Inheritance
ME-MngEnvMCAP726759-iditbnaya-2,6f08002c-135f-40f8-9c30-837ea2b2e017,1,No,Inherited
ME-MngEnvMCAP726759-iditbnaya-3,f65fac7f-cf34-42f3-b55e-d80c3353e809,1,No,Inherited
ME-MngEnvMCAP726759-iditbnaya-1,6c951b24-ff8a-46cc-ba4e-f4eb74b2169a,1,No,Inherited
